true,false,num
她,他,711
她,塔,2
她,它,8
化,话,5
化,花,5
化,华,4
受,收,56
受,手,2
受,守,1
受,授,4
买,埋,4
买,卖,40
得,的,454
得,地,34
得,淂,1
得,德,2
拿,那,12
拿,哪,2
官,管,5
官,馆,1
官,关,1
乡,想,2
时,是,48
时,侍,1
时,事,13
时,使,1
时,实,1
时,失,1
时,世,20
似,是,3
似,使,1
妙,秒,1
呐,哪,2
呐,那,6
湿,适,1
吓,下,11
他,她,174
他,它,80
他,祂,6
卖,买,59
卖,麦,1
浸,进,1
在,再,92
在,载,3
在,宰,1
又,有,72
又,友,2
又,油,1
冻,东,1
冻,洞,1
收,受,123
收,収,2
菜,彩,1
菜,才,8
菜,采,20
菜,材,1
菜,蔡,1
蜇,蛰,1
晚,碗,2
晚,完,17
晚,玩,6
晚,挽,1
晚,万,2
景,精,1
景,境,3
景,竟,2
叶,腋,1
叶,野,1
问,文,8
做,作,222
做,坐,11
做,座,1
做,昨,2
做,左,1
煎,剪,3
到,道,32
到,倒,19
到,岛,2
副,幅,2
副,福,1
副,付,2
副,符,1
副,复,2
止,之,1
止,只,3
止,至,1
止,治,1
止,指,1
州,洲,3
低,底,16
低,抵,1
地,的,725
地,得,113
先,现,10
先,闲,1
先,蚬,2
啦,拉,11
佛,弗,3
佛,拂,2
请,清,41
请,青,10
请,情,24
请,晴,2
请,轻,1
理,里,71
理,历,7
理,力,1
理,立,1
相,像,5
相,想,27
相,项,1
相,象,1
哪,那,273
把,爸,2
把,吧,56
始,式,1
始,是,1
始,使,2
始,时,4
始,视,1
课,颗,1
课,可,13
课,棵,26
课,客,2
课,科,5
课,堁,1
香,想,5
香,像,2
子,字,21
雨,榆,1
雨,鱼,2
是,时,84
是,使,18
是,师,7
是,事,72
是,十,8
是,式,3
是,失,4
是,实,14
是,市,24
是,室,2
是,似,2
是,士,2
是,石,1
是,识,1
是,适,1
是,世,1
是,湿,2
是,史,1
级,纪,24
级,及,7
级,极,4
有,又,57
有,由,14
有,友,10
有,油,1
有,优,2
有,右,1
庭,婷,1
庭,挺,3
庭,廷,2
庭,亭,1
的,地,154
的,得,346
的,锝,1
的,德,4
的,嘚,2
统,同,2
统,通,6
米,迷,1
会,绘,1
会,回,42
会,悔,1
它,他,224
它,她,32
它,牠,3
公,工,26
公,共,7
公,宫,1
成,城,5
成,承,2
成,称,4
成,乘,1
成,诚,1
重,中,7
重,钟,1
重,仲,1
重,种,3
们,门,130
勿,无,3
勿,物,2
诚,成,3
诚,城,1
想,相,24
想,象,6
想,像,31
想,乡,2
想,香,1
想,向,4
想,箱,1
想,享,1
想,响,1
师,是,9
师,市,1
师,士,5
师,实,2
师,时,1
师,使,1
明,名,10
煮,著,1
煮,煑,2
坏,怀,34
这,着,15
这,者,4
这,折,1
了,乐,12
一,以,65
一,意,5
一,已,3
一,乙,1
一,议,1
再,在,130
离,里,33
离,立,1
离,理,1
离,李,1
坐,做,61
坐,座,59
坐,作,5
除,出,11
除,处,2
除,楚,1
饱,包,13
饱,抱,3
饱,胞,1
改,该,8
租,组,11
租,祖,7
没,美,5
没,每,20
巴,吧,3
教,叫,39
教,交,10
教,较,7
杀,傻,2
杀,刹,2
旧,久,7
旧,就,3
今,近,2
实,使,2
实,是,25
实,师,7
实,実,2
实,事,2
实,时,6
实,失,1
实,试,1
事,时,21
事,是,65
事,世,2
事,实,3
事,市,1
事,食,1
事,士,1
事,视,1
六,流,3
六,柳,1
感,敢,2
感,干,4
感,赶,1
纪,记,12
纪,级,11
纪,机,2
纪,极,1
妨,放,3
妨,方,1
妨,防,3
妨,访,2
将,奖,2
将,讲,1
将,降,1
讲,奖,1
讲,将,5
蜜,密,1
那,哪,211
那,拿,1
那,纳,1
